Iteration,Time (s),Temperature,O2,H2O,CH4,CO,CO2,N2
1.000000000000000000e+00,8.000000000000000167e-08,1.200034034449945011e+03,1.901100566877348963e-01,5.017109697083644209e-06,9.505440766611016057e-02,2.482711028966262732e-06,2.584381955054297878e-08,7.148280099816094468e-01
2.000000000000000000e+00,1.600000000000000033e-07,1.200068453394476592e+03,1.901060227147066128e-01,1.003618416459274888e-05,9.505178250664175765e-02,4.915402845942449970e-06,1.026892363408762167e-07,7.148271405024049230e-01
3.000000000000000000e+00,2.400000000000000315e-07,1.200103250532449010e+03,1.901019669130274425e-01,1.505724749184513138e-05,9.504915868135743739e-02,7.299100624738003567e-06,2.295231211819385201e-07,7.148262885343773521e-01
4.000000000000000000e+00,3.200000000000000067e-07,1.200138418773321064e+03,1.900978896656314865e-01,2.008032334769764083e-05,9.504653613069947993e-02,9.634808464668954283e-06,4.053532092077252554e-07,7.148254537186474744e-01
5.000000000000000000e+00,3.999999999999999819e-07,1.200173951172979287e+03,1.900937913475068686e-01,2.510543498935601217e-05,9.504391479629684114e-02,1.192350982592652256e-05,6.292076687728569141e-07,7.148246357037122412e-01
6.000000000000000000e+00,4.799999999999999571e-07,1.200209840930784594e+03,1.900896723258561072e-01,3.013260527080420948e-05,9.504129462094124126e-02,1.416616794678221838e-05,9.001346886843738352e-07,7.148238341452963773e-01
7.000000000000000000e+00,5.599999999999999323e-07,1.200246081386320839e+03,1.900855329602729737e-01,3.516185665206358028e-05,9.503867554856069988e-02,1.636372630273082049e-05,1.217202023281386463e-06,7.148230487061882910e-01
8.000000000000000000e+00,6.399999999999999075e-07,1.200282666016675421e+03,1.900813736028901801e-01,4.019321120695384231e-05,9.503605752419734543e-02,1.851710899055908994e-05,1.579496612783191936e-06,7.148222790561021833e-01
9.000000000000000000e+00,7.199999999999998827e-07,1.200319588433563922e+03,1.900771945985350320e-01,4.522669063127279603e-05,9.503344049398410043e-02,2.062722113333263741e-05,1.986124182262612165e-06,7.148215248715339420e-01
1.000000000000000000e+01,7.999999999999998579e-07,1.200356842380503622e+03,1.900729962848841381e-01,5.026231625090286698e-05,9.503082440512158890e-02,2.269494928159981930e-05,2.436208844044401431e-06,7.148207858356177002e-01
1.100000000000000000e+01,8.799999999999998331e-07,1.200394421730044542e+03,1.900687789926136240e-01,5.530010902970083821e-05,9.502820920585564046e-02,2.472116180429616728e-05,2.928892710792319331e-06,7.148200616379860595e-01
1.200000000000000000e+01,9.599999999999999142e-07,1.200432320481092347e+03,1.900645430455430440e-01,6.034008957705251007e-05,9.502559484545557156e-02,2.670670926341370515e-05,3.463335525232619343e-06,7.148193519746355307e-01
1.300000000000000000e+01,1.039999999999999995e-06,1.200470532756314924e+03,1.900602887607774072e-01,6.538227815530407933e-05,9.502298127419316065e-02,2.865242478186943135e-05,4.038714295834706766e-06,7.148186565477964161e-01
1.400000000000000000e+01,1.120000000000000076e-06,1.200509052799576693e+03,1.900560164488464543e-01,7.042669468709587246e-05,9.502036844332152621e-02,3.055912440642299217e-05,4.654222937182142506e-06,7.148179750658013587e-01
1.500000000000000000e+01,1.200000000000000157e-06,1.200547874973421813e+03,1.900517264138411877e-01,7.547335876252122416e-05,9.501775630505490677e-02,3.242760746237192151e-05,5.309071918990862221e-06,7.148173072429598873e-01
1.600000000000000000e+01,1.280000000000000239e-06,1.200586993756596030e+03,1.900474189535490688e-01,8.052228964620711032e-05,9.501514481254834388e-02,3.425865690444004701e-05,6.002487918785441081e-06,7.148166527994331831e-01
1.700000000000000000e+01,1.360000000000000320e-06,1.200626403741639024e+03,1.900430943595838862e-01,8.557350628414152501e-05,9.501253391987812824e-02,3.605303965497558066e-05,6.733713487207461993e-06,7.148160114611117333e-01
1.800000000000000000e+01,1.440000000000000401e-06,1.200666099632560645e+03,1.900387529175119883e-01,9.062702731029464889e-05,9.500992358202298149e-02,3.781150693173847662e-05,7.502006723499356685e-06,7.148153829594994235e-01
1.900000000000000000e+01,1.520000000000000482e-06,1.200706076242527843e+03,1.900343949069781269e-01,9.568287105321602974e-05,9.500731375484530727e-02,3.953479457472109407e-05,8.306640951957880141e-06,7.148147670315966318e-01
2.000000000000000000e+01,1.600000000000000563e-06,1.200746328491598661e+03,1.900300206018281646e-01,1.007410555424852872e-04,9.500470439507258114e-02,4.122362336571985716e-05,9.146904405593290073e-06,7.148141634197854311e-01
2.100000000000000000e+01,1.680000000000000644e-06,1.200786851404526942e+03,1.900256302702287015e-01,1.058015985149766194e-04,9.500209546027962859e-02,4.287869933857162261e-05,1.002209991899520025e-05,7.148135718717190112e-01
2.200000000000000000e+01,1.760000000000000725e-06,1.200827640108600917e+03,1.900212241747842590e-01,1.108645174210150383e-04,9.499948690887105585e-02,4.450071408408417866e-05,1.093154462650961416e-05,7.148129921402130993e-01
2.300000000000000000e+01,1.840000000000000806e-06,1.200868689831524989e+03,1.900168025726520771e-01,1.159298294304021893e-04,9.499687870006384705e-02,4.609034504851168898e-05,1.187456966677851864e-05,7.148124239831383786e-01
2.400000000000000000e+01,1.920000000000000675e-06,1.200909995899344494e+03,1.900123657156550516e-01,1.209975514383329512e-04,9.499427079387080808e-02,4.764825582661607803e-05,1.285051989263601395e-05,7.148118671633164611e-01
2.500000000000000000e+01,2.000000000000000757e-06,1.200951553734420486e+03,1.900079138503913134e-01,1.260677000711571297e-04,9.499166315108384384e-02,4.917509644700402495e-05,1.385875358865658688e-05,7.148113214484179689e-01
2.600000000000000000e+01,2.080000000000000838e-06,1.200993358853461132e+03,1.900034472183410872e-01,1.311402916919808667e-04,9.498905573325810980e-02,5.067150364946461209e-05,1.489864219660619282e-05,7.148107866108628361e-01
2.700000000000000000e+01,2.160000000000000919e-06,1.201035406865575169e+03,1.899989660559725513e-01,1.362153424062283397e-04,9.498644850269609419e-02,5.213810116045040612e-05,1.596957004274479768e-05,7.148102624277220540e-01
2.800000000000000000e+01,2.240000000000001000e-06,1.201077693470366739e+03,1.899944705948451162e-01,1.412928680670561183e-04,9.498384142243218586e-02,5.357549996120426701e-05,1.707093407240682848e-05,7.148097486806220813e-01
2.900000000000000000e+01,2.320000000000001081e-06,1.201120214456065924e+03,1.899899610617108159e-01,1.463728842806794701e-04,9.498123445621745042e-02,5.498429855155016830e-05,1.820214358887350771e-05,7.148092451556505855e-01
3.000000000000000000e+01,2.400000000000001162e-06,1.201162965697727486e+03,1.899854376786121180e-01,1.514554064114977366e-04,9.497862756850508625e-02,5.636508320357671198e-05,1.936262000225604646e-05,7.148087516432654054e-01
3.100000000000000000e+01,2.480000000000001243e-06,1.201205943155441901e+03,1.899809006629789576e-01,1.565404495872048558e-04,9.497602072443572796e-02,5.771842821472428475e-05,2.055179657896134552e-05,7.148082679382045113e-01
3.200000000000000000e+01,2.560000000000001324e-06,1.201249142872587299e+03,1.899763502277234950e-01,1.616280287037500480e-04,9.497341388982333266e-02,5.904489615336928454e-05,2.176911819858827436e-05,7.148077938393975206e-01
3.300000000000000000e+01,2.640000000000001405e-06,1.201292560974106664e+03,1.899717865813337070e-01,1.667181584302539405e-04,9.497080703114120503e-02,6.034503810229239774e-05,2.301404111291711080e-05,7.148073291498795445e-01
3.400000000000000000e+01,2.720000000000001486e-06,1.201336193664862776e+03,1.899672099279626492e-01,1.718108532136977966e-04,9.496820011550859142e-02,6.161939389065359477e-05,2.428603271627806541e-05,7.148068736767080322e-01
3.500000000000000000e+01,2.800000000000001567e-06,1.201380037227981347e+03,1.899626204675181063e-01,1.769061272836292237e-04,9.496559311067720444e-02,6.286849232701664694e-05,2.558457131488102833e-05,7.148064272308790601e-01
3.600000000000000000e+01,2.880000000000001648e-06,1.201424088023258946e+03,1.899580183957492452e-01,1.820039946567166087e-04,9.496298598501834443e-02,6.409285142472473243e-05,2.690914590371671668e-05,7.148059896272471736e-01
3.700000000000000000e+01,2.960000000000001730e-06,1.201468342485570020e+03,1.899534039043328237e-01,1.871044691412739004e-04,9.496037870750986820e-02,6.529297862594550951e-05,2.825925594477447024e-05,7.148055606844452292e-01
3.800000000000000000e+01,3.040000000000001811e-06,1.201512797123354858e+03,1.899487771809553749e-01,1.922075643415681171e-04,9.495777124772394884e-02,6.646937101469802564e-05,2.963441115616897439e-05,7.148051402248082331e-01
3.900000000000000000e+01,3.120000000000001892e-06,1.201557448517105740e+03,1.899441384093951413e-01,1.973132936621423594e-04,9.495516357581479383e-02,6.762251553080937758e-05,3.103413130034462163e-05,7.148047280742968468e-01
4.000000000000000000e+01,3.200000000000001973e-06,1.201602293317891053e+03,1.899394877696020945e-01,2.024216703120052484e-04,9.495255566250666857e-02,6.875288917721180857e-05,3.245794597887366223e-05,7.148043240624232242e-01
4.100000000000000000e+01,3.280000000000002054e-06,1.201647328245901690e+03,1.899348254377770107e-01,2.075327073087871062e-04,9.494994747908203081e-02,6.986095922561133390e-05,3.390539442886515389e-05,7.148039280221777370e-01
4.200000000000000000e+01,3.360000000000002135e-06,1.201692550089058159e+03,1.899301515864469381e-01,2.126464174827108467e-04,9.494733899737017868e-02,7.094718341282726763e-05,3.537602532861112428e-05,7.148035397899586973e-01
4.300000000000000000e+01,3.440000000000002216e-06,1.201737955701612236e+03,1.899254663845408031e-01,2.177628134805581765e-04,9.494473018973607903e-02,7.201201013700117060e-05,3.686939660336092689e-05,7.148031592055021921e-01
4.400000000000000000e+01,3.520000000000002297e-06,1.201783542002800004e+03,1.899207699974627128e-01,2.228819077695272681e-04,9.494212102906919581e-02,7.305587864838096587e-05,3.838507523646564351e-05,7.148027861118136927e-01
4.500000000000000000e+01,3.600000000000002378e-06,1.201829305975499665e+03,1.899160625871646191e-01,2.280037126410497741e-04,9.493951148877270707e-02,7.407921923814535865e-05,3.992263708246245632e-05,7.148024203551009981e-01
4.600000000000000000e+01,3.680000000000002459e-06,1.201875244664947559e+03,1.899113443122159850e-01,2.331282402144539679e-04,9.493690154275305493e-02,7.508245341944703218e-05,4.148166668786288643e-05,7.148020617847092861e-01
